TRACK,START,END,STRAND,LABEL,COLOR
A,100,900,-1,label1,#ec9631
A,1100,1300,1,label2,#ec9631
A,1350,1500,1,label3,#ec9631
A,1520,1700,1,label4,#ec9631
A,1900,2200,-1,label5,#ec9631
A,2500,2700,1,label6,#ec9631
A,2700,2800,-1,label7,#ec9631
A,2850,3000,-1,label8,red
A,3100,3500,1,label9,#ec9631
A,3600,3800,-1,label10,#ec9631
A,3900,4200,-1,label11,#ec9631
A,4300,4700,-1,label12,#ec9631
A,4800,4850,1,label13,#ec9631
B,100,900,-1,label14,#ec9631
B,1100,1300,1,label15,#ec9631
B,1350,1500,1,label16,#ec9631
B,1520,1700,1,label17,#ec9631
B,1900,2200,-1,label18,#ec9631
B,2500,2700,1,label19,#ec9631
B,2700,2800,-1,label20,#ec9631
B,2850,3000,-1,label21,#ec9631
B,3100,3500,1,label22,#ec9631
B,3600,3800,-1,label23,#ec9631
B,3900,4200,-1,label24,#ec9631
B,4300,4700,-1,label25,#ec9631
B,4800,4850,1,label26,#ec9631
C,100,900,-1,label27,#ec9631
C,1100,1300,1,label28,#ec9631
C,1350,1500,1,label29,#ec9631
C,1520,1700,1,label30,#ec9631
C,1900,2200,-1,label31,green
C,2500,2700,1,label32,#ec9631
C,2700,2800,-1,label33,#ec9631
C,2850,3000,-1,label34,#ec9631
C,3100,3500,1,label35,#ec9631
C,3600,3800,-1,label36,#ec9631
C,3900,4200,-1,label37,#ec9631
C,4300,4700,-1,label38,#ec9631
C,4800,4850,1,label39,#ec9631
D,100,900,-1,label40,#ec9631
D,1100,1300,1,label41,#ec9631
D,1350,1500,1,label42,#ec9631
D,1520,1700,1,label43,#ec9631
D,1900,2200,-1,label44,#ec9631
D,2500,2700,1,label45,#ec9631
D,2700,2800,-1,label46,#ec9631
D,2850,3000,-1,label47,#ec9631
D,3100,3500,1,label48,#ec9631
D,3600,3800,-1,label49,#ec9631
D,3900,4200,-1,label50,#ec9631
D,4300,4700,-1,label51,#ec9631
D,4800,4850,1,label52,#ec9631
E,100,900,-1,label53,#ec9631
E,1100,1300,1,label54,#ec9631
E,1350,1500,1,label55,#ec9631
E,1520,1700,1,label56,#ec9631
E,1900,2200,-1,label57,#ec9631
E,2500,2700,1,label58,#ec9631
E,2700,2800,-1,label59,#ec9631
E,2850,3000,-1,label60,#ec9631
E,3100,3500,1,label61,#ec9631
E,3600,3800,-1,label62,#ec9631
E,3900,4200,-1,label63,#ec9631
E,4300,4700,-1,label64,#ec9631
E,4800,4850,1,label65,#ec9631
